audio_file_name,grader,profile_id,pre_or_post,question_clean,Human Transcription,ai_transcription,human_words_correct,total_reference_words,ai_total_score,ai_words_correct,ai_n_words
grade1_profile28398_q3_QK_20251122_101834.mp3,Rehma,28398,post,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara. She loves to draw. This is Faiz. He loves to buld things.,This is zara she loves to draw this is faiz he loves to build things,14,15,18.0,8,11
grade1_profile28364_q3_LP_20251122_101304.mp3,Rukhshan,28364,pre,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara. She laaves to draw. This is Faiz. He loves to baild things. ,This is zara she loves to draw this is faiz he loves to build things,13,15,17.0,7,11
grade1_profile28451_q3_QK_20251122_101834.mp3,Dania,28451,post,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara. She loves to draw things. This is Faiz. He loves to build things. ,This is zara she loves to draw things this is faiz he loves to build things,15,15,21.0,10,11
grade1_profile30586_q3_QK_20251122_101834.mp3,Amna,30586,post,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is zara this is zara she loves to she loves to draw draw this is faiz he loves he loves to build things to build things,15,15,20.0,9,11
grade1_profile28417_q3_QK_20251122_101834.mp3,Amna,28417,post,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is zara she loves to draw this is faiz he loves to build things,15,15,18.0,7,11
grade1_profile28498_q3_QK_20251122_101834.mp3,Amna,28498,post,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is zara she loves to draw this is faiz he loves to build things,15,15,18.0,8,11
grade1_profile28429_q3_LP_20251122_101304.mp3,Amna,28429,pre,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara. She loves to draw. This is um Faiz. He loves to bi build things.,This is zara she loves to draw this is faiz he loves to build build things,15,15,19.0,9,11
grade1_profile30633_q3_QK_20251122_101834.mp3,Amna,30633,post,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara. She loves to drauw. This is um Faiz. He love to build things.,This is zara she loves to draw this is faiz he loves to build things,13,15,17.0,8,11
grade1_profile31184_q3_QK_20251122_101834.mp3,Rukhshan,31184,post,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara. She loves to draw. This is Faiz. He loves to building things.,This is zara she loves to draw this is faiz he loves to build things,14,15,14.0,5,11
grade1_profile28518_q3_QK_20251122_101834.mp3,Semal,28518,post,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara. She love to draw. This is Faiz. He love to build things.,This is zara she loves to draw this is faiz he loves to build things,13,15,14.0,6,11
grade1_profile30941_q3_LP_20251122_101304.mp3,Dania,30941,pre,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara. She loves to draw. This is Faiz. He loves to build th.,This is zara she loves to draw this is faiz he loves to build things,14,15,19.0,9,11
grade1_profile30633_q3_QK_20251122_101834.mp3,Dania,30633,post,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is zara she loves to draw this is faiz he loves to build things,15,15,17.0,8,11
grade1_profile28401_q3_QK_20251122_101834.mp3,Semal,28401,post,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is zara she loves to draw this is faiz he loves to build things,15,15,21.0,10,11
grade1_profile28428_q3_LP_20251122_101304.mp3,Dania,28428,pre,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is zara she loves to draw this is faiz he loves to build things,15,15,17.0,7,11
grade1_profile28385_q3_QK_20251122_101834.mp3,Semal,28385,post,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Its this is Zara. She loves to draw. The is Faiz. Hell he's love to build things.,Is this is zara she loves to draw this is faiz he loves to build things,12,15,19.0,9,11
grade1_profile28441_q3_LP_20251122_101304.mp3,Semal,28441,pre,This is Zara. She loves to draw. This is Faiz. He loves to build things.,These ease Zara. She she loves to draw. These ease Faiz. He loves to build thumbs things. ,This is zara she she loves to draw this is faiz he loves to build things things,11,15,15.0,5,11
grade1_profile31192_q3_QK_20251122_101834.mp3,Amna,31192,post,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara. She love to draw. This is Faiz. He love to buildings,This is zara she loves to draw this faiz this is faiz he loves to build things,11,15,20.0,9,11
grade1_profile31284_q3_LP_20251122_101304.mp3,Rukhshan,31284,pre,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara. She loves to draaa. This is Faiz. He laves to build-uh things.,This is zara she loves to draw this is faiz he loves to build things,12,15,19.0,9,11
grade1_profile31293_q3_LP_20251122_101304.mp3,Rukhshan,31293,pre,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zaraa. She lauves to draw. This is Faiz. He love to bail-baild-uh things,This is zara she loves to draw this is faiz he loves to build things build things,11,15,18.0,8,11
grade1_profile28425_q3_LP_20251122_101304.mp3,Salman,28425,pre,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is zara she loves to draw this is faiz he loves to build things,15,15,15.0,5,11
grade1_profile30695_q3_LP_20251122_101304.mp3,Dania,30695,pre,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara. She loves draw. This is Faiz. He loves to build things.,This is this is zara she he loves loves draw this is faiz he loves to he loves to build things,14,15,12.0,4,11
grade1_profile28381_q3_QK_20251122_101834.mp3,Dania,28381,post,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is zara she loves to draw this is faiz he loves to build things,15,15,21.0,10,11
grade1_profile28518_q3_LP_20251122_101304.mp3,Salman,28518,pre,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara. She loves draw. This is Faiz. He loves to build things. ,This is zara she loves draw this this is faiz he loves to build things,14,15,10.0,4,11
grade1_profile28425_q3_QK_20251122_101834.mp3,Amna,28425,post,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara. She guv to draw. This is Faiz. He guv to build things.,This is zara she loves to draw this is faiz he loves to build things,13,15,17.0,6,11
grade1_profile28519_q3_QK_20251122_101834.mp3,Rukhshan,28519,post,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara. She loves to draw. This is Faiz. Sh-He loves to build things.,This is zara she loves to draw this is faiz she he loves to build things,14,15,19.0,9,11
grade1_profile28465_q3_QK_20251122_101834.mp3,Salman,28465,post,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is zara she loves to draw is he this is faiz he loves to build things,15,15,20.0,9,11
grade1_profile28401_q3_QK_20251122_101834.mp3,Rukhshan,28401,post,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is zara she loves to draw this is faiz he loves to build things,15,15,21.0,10,11
grade1_profile30596_q3_QK_20251122_101834.mp3,Rukhshan,30596,post,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara. She laves to dra. This is Faiz. He loves to build things.,This is is zara she loves to draw this is faiz he loves to build things,13,15,18.0,7,11
grade1_profile30684_q3_LP_20251122_101304.mp3,Rukhshan,30684,pre,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara. She loves to draw. This is Faiz. He loves to bwuild things.,This is zara she loves to draw this is faiz he loves to build things,14,15,17.0,7,11
grade1_profile30490_q3_LP_20251122_101304.mp3,Rukhshan,30490,pre,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara. She love to draaw. This is Faiza. Faiz. He love to build-uh things.,This is zara she loves to draw this is faiz he loves to build things,11,15,14.0,4,11
grade1_profile28381_q3_LP_20251122_101304.mp3,Rukhshan,28381,pre,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara. She loves to draa. This is a Faiz. He loves to build things.,This is zara she loves to draw this is zara faiz he loves to build things,14,15,21.0,10,11
grade1_profile31361_q3_LP_20251122_101304.mp3,Semal,31361,pre,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara. She love to draw. This is Faiz. He love to build things.,This is zara she loves to draw this is faiz he loves to build things,13,15,16.0,6,11
grade1_profile28446_q3_QK_20251122_101834.mp3,Amna,28446,post,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara. She loves to draw. This is Faiz. He loves to build thi,This is zara she loves to draw this is faiz he loves to build build things,14,15,20.0,10,11
grade1_profile30581_q3_QK_20251122_101834.mp3,Dania,30581,post,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is zara she loves to draw this is faiz he loves to build things,15,15,16.0,6,11
grade1_profile31192_q3_QK_20251122_101834.mp3,Semal,31192,post,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara. She love to draw. This is Fair. He love to buildings.,This is zara she loves to draw this faiz this is faiz he loves to build things,10,15,20.0,9,11
grade1_profile30665_q3_QK_20251122_101834.mp3,Semal,30665,post,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is zara she loves to draw this is faiz he loves to build things,15,15,20.0,9,11
