audio_file_name,Submitted Audio Link,Question,Human Transcription,Come,on.,We,can,do,it,together.,Notes
grade1_profile28369_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/18u_QaO3zzvyQ4T28nlj8KQYpM0UF78Yf/view?usp=drivesdk,Come on. We can do it  together.,Come on. We can do it  together.,Ungraded,Ungraded,Ungraded,Ungraded,Ungraded,Ungraded,Ungraded,Father has recorded. Nothing said by the child.
grade1_profile30822_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1b2gWUnqXN5lHU9wnwrOt9iaZ8Z8fJgq9/view?usp=drivesdk,Come on. We can do it  together.,Come on. We can do it  together.,Ungraded,Ungraded,Ungraded,Ungraded,Ungraded,Ungraded,Ungraded,Mother has recorded. Doesn't sound like a child.
grade1_profile30482_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1E6BO9PsBooOo1yTOC5kyYQR9p6VRheH6/view?usp=drivesdk,Come on. We can do it  together.,Come on. We can do it  together.,2,2,2,2,2,2,2,
grade1_profile28423_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/10elorxxpdjLEWacskgdqBPNPCmFwXGEc/view?usp=drivesdk,Come on. We can do it  together.,Come on. We can do it  together.,2,2,2,2,2,2,2,Sound of acknowledgement by the mother at the end. Audio seems assisted.
grade1_profile28363_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/11JV1lkLmuzTyzD7yN4xotjXg7l8KnoF6/view?usp=drivesdk,Come on. We can do it  together.,Come on. We can do it  together.,2,2,2,2,2,2,2,
grade1_profile28388_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1z9xm18DKMCnbABCWjsXMh9OzENz9Xg-7/view?usp=drivesdk,Come on. We can do it  together.,Come on. We cand do eeet toge together.,2,2,2,1,2,1,2,Seemed like someone was assisting the kid quietly.
grade1_profile31184_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1hM7A5JaPd0NRgkzXcF5dvadLufvdl_ds/view?usp=drivesdk,Come on. We can do it  together.,Com on. Left lets do it toogether.,1,2,0,0,2,2,1,
grade1_profile28475_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1ilNl0Irp3KpD2fjtEVYy2DOjdHN2WkjH/view?usp=drivesdk,Come on. We can do it  together.,Come on. We can do it toogether.,2,2,2,2,2,2,1,
grade1_profile28466_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1y534xY1tydPx33yVI4kF_a63jsfpAsZr/view?usp=drivesdk,Come on. We can do it  together.,On. We can do it togather.,0,2,2,2,2,2,1,
grade1_profile30684_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1VAswEHCCqeCpUeF8RIrGFANFg9wYsAqv/view?usp=drivesdk,Come on. We can do it  together.,Come on. We can do it toogether.,2,2,2,2,2,2,1,
grade1_profile28456_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1dCMSzpX6LJQJdJrdw8lH5YZYSbodAm6W/view?usp=drivesdk,Come on. We can do it  together.,Come on. We can do it toogether.,2,2,2,2,Ungraded,2,1,"Mother prompted the kid to say ""do""."
grade1_profile28457_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1x48tmw7M5cvWlNTqUCplMEr8d_dWTWN4/view?usp=drivesdk,Come on. We can do it  together.,Come on. We can do it together.,Ungraded,Ungraded,Ungraded,Ungraded,Ungraded,Ungraded,Ungraded,Mother has recorded. Doesn't sound like a child.
grade1_profile28512_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1RK5rvndliJUPe28fi99pOvk6azmRdDrK/view?usp=drivesdk,Come on. We can do it  together.,Come on. We can do it togayher.,2,2,2,2,2,2,1,
grade1_profile28398_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1LsEG5rTzjPw1dpfAXLCbAPZFFTWGZ8v_/view?usp=drivesdk,Come on. We can do it  together.,Come on. We can do it together.,2,2,2,2,2,2,2,Kid has spoken very confidently.
grade1_profile28470_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1pWWumEHyNT6M_aVPgxOpCMUHKJo-9wYT/view?usp=drivesdk,Come on. We can do it  together.,Come on. We can do it too geh geder.,2,2,2,2,2,2,Ungraded,"Mother prompted the kid ""geh"" and the kid completed the word by saying geder."
grade1_profile31284_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1giRhhVQ-DJo0dLwJw0Ud42WcHz2q_x3H/view?usp=drivesdk,Come on. We can do it  together.,annnn onnnnn. We can do it together together.,0,1,2,2,2,2,Ungraded,"Mother prompted the kid to say ""together""."
grade1_profile28402_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1_DJiv9w9iKb9Czmec61FCluJJndcHTIw/view?usp=drivesdk,Come on. We can do it  together.,Come on. We can do it toogather.,2,2,2,2,2,2,1,The kid spoke slowly. Seemed like someone was helping in the background.
grade1_profile28344_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1YKfDBUpbHKgZY6LK28r8VkrY0F_YmoFt/view?usp=drivesdk,Come on. We can do it  together.,Come on. We can do eet together.,2,2,2,2,2,1,2,
grade1_profile28417_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1ONPAPhcjW3CEPrqyUJ8FxQ4iXzEKtg8S/view?usp=drivesdk,Come on. We can do it  together.,Come on. We can do it toogether.,2,2,2,2,2,2,1,Seems like someone was assisting the kid in the background.
grade1_profile31207_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1znls_9ImLOjmzM5oLlzYfo6DLHlvEor_/view?usp=drivesdk,Come on. We can do it  together.,Come aan. We can do it toogether.,2,1,2,2,2,2,1,
grade1_profile28510_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1Ual-1DavfpyjWH02l9AIKZgz7mwmbgDB/view?usp=drivesdk,Come on. We can do it  together.,Come aan. We can do it do it toogether.,2,1,2,2,2,2,1,Seems like someone was assisting the kid in the background.
grade1_profile28471_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1ZZsINQNakoTd6OkVhZbN7rm5vh1TaLVN/view?usp=drivesdk,Come on. We can do it  together.,Come on. We can do it toogether.,2,2,2,2,2,2,1,Kid seemed quite confident.
grade1_profile31293_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1PfTj0lFEKtkdF1exSELdVVuMYBqduR67/view?usp=drivesdk,Come on. We can do it  together.,Auuduii can do it together.,0,0,0,2,2,2,2,Listened to the audio 10 times. Still couldn't make sense of the Auuduii part.
grade1_profile30941_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/18CDgEGdBc4MyIX1XpPW70SDN_e9X0VpK/view?usp=drivesdk,Come on. We can do it  together.,Come on. We can do eet ate ogotock.,2,2,2,2,2,1,0,
grade1_profile28441_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1kxAO1HzQkIbMAsjxLV18NLnYhsNEjl3L/view?usp=drivesdk,Come on. We can do it  together.,Come on. We can do it together.,2,2,2,2,2,2,2,
grade1_profile30630_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/15lK3PFMaxji8GSTKKGk8vc7O2qp_aojP/view?usp=drivesdk,Come on. We can do it  together.,Come on. We can do it toogether.,2,2,2,2,2,2,1,
grade1_profile30586_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1oklEnb6Bz1HU2UflEANBcj5Hh5ureqZE/view?usp=drivesdk,Come on. We can do it  together.,Come on. Come on. We can do it together. We can. Do it. Do it. Together. Together.,Ungraded,Ungraded,Ungraded,Ungraded,Ungraded,Ungraded,Ungraded,Mother was prompting the kid word by word.
