audio_file_name,Submitted Audio Link,Question,Tab,Human Transcription,Notes,errors
grade1_profile28493_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/1LmMRS1Srxo8HgPdywpcuybIHi8ub3vT9/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Q3,-,Important! Listen to this audio,
grade1_profile28514_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1PrOXkGo4w7QN3M17nqH-OiI0qR74UTEP/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come onnn. We can do it too gather,,
grade1_profile30472_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1AyTlkRykh3Rmv9PxFJm7IT17ddmgCfQK/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come on. We can do it together.,,
grade1_profile28352_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1cxKIMrQ4pQxF8gwpg7lj97_3rkL_zwT2/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come on. We caaan do it too gather,,
grade1_profile28381_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1bjb4Hq936mq1Fuq20877lvNDPAr23Ovp/view?usp=drivesdk,Come on. We can do it  together.,Q1,Ca mon. We can do it to ga ther,"Parent helping ""together""",
grade1_profile30544_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1WlJqihZ6DOoYuVXGku5dN9lOGY-VJao0/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come ooonnnn. We caaaannn do it togetha,Dragging,
grade1_profile28443_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1RDIi7f6EhXxzTdxohaYWPIFxXNU-ti7s/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come on. We can do it together.,,
grade1_profile28398_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1Zq5-xyJeO2_ViCEzZ5PI5roFEY--dCNc/view?usp=drivesdk,It's locked. I can open it.,Q2,It's lock. I can open it.,,
grade1_profile28388_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1ESwnqgQj2778XjyDOXp3NOCGEcP2fUT2/view?usp=drivesdk,It's locked. I can open it.,Q2,It's lock. I can't open it.,,
grade1_profile30823_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1b5_BA_o-Yi2nHhtU9QEmmniDuoxZq00l/view?usp=drivesdk,It's locked. I can open it.,Q2,It's looock. I can open it.,,
grade1_profile30544_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1QXvUMBe3pzXtFK3Yiq5lYiG8YF4pFmae/view?usp=drivesdk,It's locked. I can open it.,Q2,It's locked. I can open it.,,
grade1_profile28463_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/111xBn2enmGjQP6fDEJwjhFGIWFXHW6sx/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Q3,Dis is Zaraaa. She lofes to dramp. Das This is Faaaiz. He la lap darap d u i l d das this thing ,Parent helping (Listen to this audio),
grade1_profile28382_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/1RL-Kyvq3RU3vcutpzU5z8XIGQ7-yaFJh/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Q3,This is Zara. She love to draw. This is Faaiz. He love to buil thing,Parent helping ,
grade1_profile28456_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1H1WpKV3SVNt7HDyyyoYXil9YdPURSk9-/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Q3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,,
grade1_profile28391_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1KA1zDCHJrxeNa-oRRFmyVcyHRvX7B636/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Q3,This is Zara. She loves to draaaaw. This is Faiz. He love to buil thang,Parent helping,
grade1_profile28518_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1fj7Cno-bBgGLBSa5Ko_vplG4d89pIlb1/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Q3,This is Zara. She love to draw. This is Faaiz. He love to buil things,,
grade1_profile28428_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1ggM0p88tsdGNbDG1B5poJgGiXY_tF9xt/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Q3,This is Zara. She looooooves to draaw. This is Saif. He looooves to buil things,Dragigng,
grade1_profile30476_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1R5H7PeyXRbUE2ZZlGuf9Vjh0oxgDyIF1/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come onnn. We can do it too gather,,
grade1_profile30496_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1w7vvMhkxqbxOijzGE-BKCYsZzcXKoPfi/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come on. We can do it  together.,Not student's voice,
grade1_profile28423_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1Uv7a9Rs42CaplAL-1mUXwr6YwUdSAhFH/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come on. We can do it togetha,,
grade1_profile28425_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1k7L4X8nTh8My7oZXUrT7fMzcG-KCU5xH/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come on. We caaann do it  together.,,
grade1_profile28375_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1d1gyn59xzVI5dq87l5dQyKbLtLxAse-m/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come on. We can do it  together.,Not student's voice,
grade1_profile28518_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1L6DNOcGk2LAZPdYs5OtoYWAu2_N7vrZw/view?usp=drivesdk,It's locked. I can open it.,Q2,Iss lock. I can open iit,,
grade1_profile28509_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1Cbxtq1GQEdh53UlBa4fzpjMbNF9d4rU9/view?usp=drivesdk,It's locked. I can open it.,Q2,It's loooord. I can open it,,
grade1_profile31184_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1MC6XxT6nANngFFv3Rie5g3T-Pvj1aT1T/view?usp=drivesdk,It's locked. I can open it.,Q2,It's look. i can open it,,
grade1_profile30596_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1CYJlzicSxEgriAwm3JViRcPiRktWJ-_z/view?usp=drivesdk,It's locked. I can open it.,Q2,It's lac kad. I can opin it,,
grade1_profile31205_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1WpB8a7yhD3aLFVxfRob-FxN3EAsbb-A_/view?usp=drivesdk,It's locked. I can open it.,Q2,Ss locked. i can open i,,
grade1_profile30481_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1L-VNboT0xSMamVwX2cOCShMKYjcY0BYG/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Q3,This is Zaraaa. She loves to drrraw. This is Feezz. He loves to build thin,,
grade1_profile30684_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/1p-c-LhHjaru2tSeLf3qG5zXxnFTUi1xb/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Q3,This is Zara. She loves to draw. This is Faiz. He loves to buld things.,,
grade1_profile28466_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/1WCP6eFISf4VFsu99hDeZ73nOZfKWboxl/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Q3,This is Zara. She loves to draw. This is Faaaiz. He loves to bilid things,,
grade1_profile28466_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/13q9okXmgPfG5btm7IWV7If_j_0lwxAtF/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Q3,This is Zara. She loves to draw. This is Faiz. He lpves to build thi,,
grade1_profile28443_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/1kPlBN62rggYS8Qxb77z0-WlG0lESMdGQ/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Q3,This is Zara. She laave loves to draw. This is Faiz. He loves to baald things,,
grade1_profile30840_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/14ivG7QpMVyIxLFfOVYyFSScm1JtxN_rT/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Q3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,,
grade1_profile31204_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1-64-E36FLmhPcLbj38XjzOFRY3ep8N3J/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Q3,This is Zara. She lafs to bilts drrraaw. This is Faiz. He loves to build things,Parent helping,
grade1_profile28514_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/1MV4rVFKqVBR8OkgEndBzjJi4h6QB5L7e/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Q3,This is Zaraaa. She loves to drrrraw. This is Fa Faezzz. He loves to bald things.,,
grade1_profile28444_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/19wx9-h8ymfhTN-ryaUwabCh307K-8zA5/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come on. We can do it  together.,,
grade1_profile28355_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1BeUcSDW0OKR-NjDCpzmXlTqoD9JenzzA/view?usp=drivesdk,Come on. We can do it  together.,Q1,Onn. We can do it gather,Parent helping,
grade1_profile28469_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1pfLFgJOxajAcUz51ZD8F8vmU1r-pLkdf/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come o come onn. We can do it together,,
grade1_profile30596_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/17TyxBTED_ENMH7S8Rmv51dJHNYH-vtVS/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come aann. We can do it tooo gather,,
grade1_profile28450_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/12spWSZvVIF3xUNcu44vID25jJaqFCKvl/view?usp=drivesdk,It's locked. I can open it.,Q2,It's locked. I can open it.,,
grade1_profile30581_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/14C4ySrqYHc5ecbUT0j5q0L6y-18C0I3A/view?usp=drivesdk,It's locked. I can open it.,Q2,It's isss lock. I can open it,,
grade1_profile28443_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1HKrucBh7oHJPzUqHr86kfz72yWf5TjyK/view?usp=drivesdk,It's locked. I can open it.,Q2,It's lock. I can open it.,,
grade1_profile30485_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/19xR9GVubzwVX6EgCKqQfXJLu6Zqj5YMy/view?usp=drivesdk,It's locked. I can open it.,Q2,Isss loo. I can open it,Parent helping,
grade1_profile28355_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1MFHaKZDOtKkgVokaGt247fzut9N9FOeb/view?usp=drivesdk,It's locked. I can open it.,Q2,It's lock. I can open e,,
grade1_profile28516_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1ZPYVFDs38ZLf0HFGilrlKTFO-tdqzjgz/view?usp=drivesdk,It's locked. I can open it.,Q2,Iss lock. I can open iit,,
grade1_profile30485_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1LzkP0L3suyY8q3M6C_0ljC69YLEBLJ8R/view?usp=drivesdk,It's locked. I can open it.,Q2,Iss lock. I can open iit,,
grade1_profile28349_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/1SUecVHldhJIWTBX0iMM8vs8A93s3q_Wj/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Q3,This is Sara. She loves to drraw. This is Faaz. He loves to build thin,,
