audio_filename,word,human_1,human_1_name,human_2,human_2_name,human_avg,ai_score,ai_minus_human_avg
grade1_profile28344_q1_LP_20251122_095026.mp3,TOTAL,14.0,ali,13.0,anum,13.5,8.0,-5.5
grade1_profile28350_q2_LP_20251122_100201.mp3,TOTAL,11.0,salman,11.0,anum,11.0,10.0,-1.0
grade1_profile28371_q1_LP_20251122_095026.mp3,TOTAL,13.0,ali,12.0,semal,12.5,9.0,-3.5
grade1_profile28376_q2_LP_20251122_100201.mp3,TOTAL,8.0,rehma,10.0,salman,9.0,9.0,0.0
grade1_profile28387_q3_LP_20251122_101304.mp3,TOTAL,28.0,ali,26.0,anum,27.0,11.0,-16.0
grade1_profile28391_q2_QK_20251122_100724.mp3,TOTAL,8.0,salman,8.0,semal,8.0,8.0,0.0
grade1_profile28403_q1_LP_20251122_095026.mp3,TOTAL,14.0,salman,14.0,semal,14.0,10.0,-4.0
grade1_profile28417_q2_QK_20251122_100724.mp3,TOTAL,10.0,ali,8.0,anum,9.0,9.0,0.0
grade1_profile28423_q1_LP_20251122_095026.mp3,TOTAL,13.0,semal,14.0,anum,13.5,14.0,0.5
grade1_profile28457_q2_LP_20251122_100201.mp3,TOTAL,10.0,ali,12.0,salman,11.0,11.0,0.0
grade1_profile28509_q1_QK_20251122_095622.mp3,TOTAL,12.0,ali,14.0,salman,13.0,8.0,-5.0
grade1_profile28516_q1_QK_20251122_095622.mp3,TOTAL,10.0,ali,14.0,salman,12.0,11.0,-1.0
grade1_profile30482_q2_LP_20251122_100201.mp3,TOTAL,8.0,rehma,11.0,salman,9.5,9.0,-0.5
