audio_file_name,Submitted Audio Link,Question,Human Transcription,It's,locked.,I,can,open,it.,Notes
grade1_profile28375_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1v16a9lrQQwaewpvSiPRXmSvyaoqhNwFo/view?usp=drivesdk,It's locked. I can open it. ,It is a loocked. I can open it.,1,1,2,2,2,2,
grade1_profile30596_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/11LDFjjCqaiFddLweUJwB98Ifqju2Anmc/view?usp=drivesdk,It's locked. I can open it. ,It's lacked. I can aupen it.,Ungraded,Ungraded,Ungraded,Ungraded,Ungraded,Ungraded,Mother has recorded. Doesn't sound like a child.
grade1_profile30630_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1qfGsM-C8SKuXoTAF8cZ5uUpCdQxXM_Bx/view?usp=drivesdk,It's locked. I can open it. ,It's lock. I can aupen it.,2,1,2,2,1,2,
grade1_profile28470_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1zNXzItVQCkdrSWYa8lG9gLH8DiUyU4a_/view?usp=drivesdk,It's locked. I can open it. ,It's lock. I can open it.,2,2,2,2,2,2,
grade1_profile30695_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1NoGVg7Lhzv1314mB742CP6uyHH2YUTuV/view?usp=drivesdk,It's locked. I can open it. ,Its laww. I can opan it.,2,0,2,2,1,2,
grade1_profile28446_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1gyXSUmWGyXFOAJUr2bMnlSyI-EPPBxuO/view?usp=drivesdk,It's locked. I can open it. ,It's locked. I can opan it.,2,2,2,2,1,2,
grade1_profile28395_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1dAh-VsX4Ir10_bmyvwuKFjYqgnZuWo6l/view?usp=drivesdk,It's locked. I can open it. ,,,,,,,,Mother is assisting the kid word by word.
grade1_profile28362_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1eoW4PBEnU1YlHk94E2JtjLvPdhMvlRgL/view?usp=drivesdk,It's locked. I can open it. ,It's looked. I can aupen it.,2,1,2,2,1,2,
grade1_profile28382_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1WiH5W_Qx1Fu2JFFmeLJtBKxBf740dviK/view?usp=drivesdk,It's locked. I can open it. ,It lock. I can open it.,1,1,2,2,2,2,
grade1_profile28468_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1xv2M86NdHggbvBapWbsvtK814vlNaAkB/view?usp=drivesdk,It's locked. I can open it. ,Is lock. I aapen enn aann.,1,1,2,0,1,0,
grade1_profile28485_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1_JdlCr0U38E7BoyG5Cg8m-pSJLffKYVR/view?usp=drivesdk,It's locked. I can open it. ,It is.,0,?,?,?,?,?,Incomplete audio by the kid.
grade1_profile28438_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/17oiztnaYYA-kVz_BhWXQiktowe3FAm0j/view?usp=drivesdk,It's locked. I can open it. ,It's locked. I can open it.,2,2,2,2,2,2,
grade1_profile28403_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1PVG7uKyI-uDsPiTDT8Pd7OTa7hKxtINI/view?usp=drivesdk,It's locked. I can open it. ,It's lock. I can aupen it.,2,1,2,2,1,2,
grade1_profile28350_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1AIgyzLGlCTQoYELcNb5HogelSx5rxIto/view?usp=drivesdk,It's locked. I can open it. ,Is lockdd. I can open it.,2,1,2,2,2,2,
grade1_profile28425_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/17V0Pp8X6fYVhqZIT6Kt11TcZTtjZ0xD7/view?usp=drivesdk,It's locked. I can open it. ,It's locked. I can open it.,2,2,2,2,2,2,
grade1_profile28417_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1ahDtRbHfkMLeAzZ1C13m2RNWCFo-4Deg/view?usp=drivesdk,It's locked. I can open it. ,Thees lockdd. I can open eet.,0,1,2,2,2,1,
grade1_profile28473_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/13RCd8fCBxngAyQfVOyEtxY_tbmJtVmco/view?usp=drivesdk,It's locked. I can open it. ,It's locked. I can aupen it.,2,2,2,2,1,2,
grade1_profile28518_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1Yy165tYlkey8zz9hYrqJA2N33JKTQ5rf/view?usp=drivesdk,It's locked. I can open it. ,Is locked. I can aupen it.,2,2,2,2,1,2,"Seems like the kid has a lisp or an affected throat. Hence marked 2 for ""it's"""
grade1_profile28512_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1EH-6YttTBZFaIiXCHsM_HiThpjbyirYS/view?usp=drivesdk,It's locked. I can open it. ,Lockeed. I can aupen (it it it) it.,0,1,2,2,1,Ungraded,"Mother prompted the kid three times to say ""it""."
grade1_profile28474_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1ZgyZ8bXq_MTSH3anycfJMNPi6mBzfVoA/view?usp=drivesdk,It's locked. I can open it. ,It's lockedd. I can open it.,2,1,2,2,2,2,
grade1_profile28345_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1tLEOraTIKyJ8_G5rugAt1r5DfLYvbIWP/view?usp=drivesdk,It's locked. I can open it. ,Locked. I can aupen it.,0,2,2,2,1,Ungraded,The audio got cut off from the end while recording.
