audio_file_name,Submitted Audio Link,Question,Human Transcription,This,is,Zara.,She,loves,to,draw.,This,is,Faiz.,He,loves,to,build,things.,Notes
grade1_profile28429_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1yNh9BJ03VJKwjgLHiQrMvAdoGc1Md_Ab/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
grade1_profile28423_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/1kxi2fXFMS1M2dnEADWRHddn7Fh0dhmwG/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
grade1_profile30467_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/1qGBMTShaRoP0ep1VbSClVSUyeuLfo1B2/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
grade1_profile28438_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1e_BhgB_1Wty4j7iVaad2agsX8-TyWBFc/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
grade1_profile30544_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/1FBlufK8v9aEPNYTxrztDSXQJeCxf9MwK/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She love to draw. This is Faiz. He love to build things. ,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,
grade1_profile28403_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1vusRdE0LWT3RoWGaG-SSxIyeqmLO0d9S/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She love to draw. This is Faiz. He love to build things. ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
grade1_profile28473_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/1m5frDI2566L4PZz0U2abQrxcpPbtOxnx/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zaarra. She love to draw. This is Faaiz. He love to build things. ,2,2,1,2,1,2,2,2,2,1,2,1,2,2,2,
grade1_profile28362_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/1rlPS_7TThwAJr03rlJyQpvY2gYPsBNZ4/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She loves to draaa. This is Faaiz. He loves to bluid (build) things. ,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,"Mother prompted the correct pronunciation of ""build"" to the kid."
grade1_profile30822_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/1-vHhDtwp7aluqZYoV-Us85FzkMKtnyxk/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zarra. She love to draw. This is Faiz. He loves to build things. ,Ungraded,Ungraded,Ungraded,Ungraded,Ungraded,Ungraded,Ungraded,Ungraded,Ungraded,Ungraded,Ungraded,Ungraded,Ungraded,Ungraded,Ungraded,Mother is assisting the kid word by word.
grade1_profile28514_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1i6VdOGirYesagKn-Tp6NFM36qvv37dj_/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She looves to draw. This is Faiz. He looves to build things. ,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,
grade1_profile28471_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/134fddwA8LrHth1-On1-czP62NYDTkJlD/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She love to draw. This is Faaiz. He love to build things. ,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,
grade1_profile28474_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1EoPbrOV2nGQFbAo8Aqjcg3io5CX46HWB/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,Ungraded,Ungraded,Ungraded,Ungraded,Ungraded,Ungraded,Ungraded,Ungraded,Ungraded,Ungraded,Ungraded,Ungraded,Ungraded,Ungraded,Ungraded,Mother has recorded. Doesn't sound like a child.
grade1_profile30581_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/1HC0hWKLd-0xdGEVcArrF4fbIeHFWsZz6/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Mother has acknowledged the kid's reading at the end.
grade1_profile28421_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1z-rJVhCrJMw6LDTIFJz8abc2vKgbrjM2/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Very loud background disturbance in the audio. The kid was straining to hear herself speak but recorded correctly.
grade1_profile30569_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1VNj6j2oiBWPgDdWxwCT-dVLwFimRoQQd/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,Thees is Zara. She loves to draw. Thees is Faiz. He loves to build things.,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,
grade1_profile28347_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1It8movDjcEOtfgUsvqNbHWfWf_qDcDMk/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
grade1_profile28362_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/199muNCwAnQd4tmeZWL_4AYXnOvr4S6wy/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She loves to draw. This is Faiz. He loves to buld build things. ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
grade1_profile28451_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/1gSMojvEwGJhOdrYPeT68VyftWY6p9bNp/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,It seems as if some one in the background has assisted with reading. Also the audio seems to have been paused and then continued for the second sentence.
grade1_profile28344_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1Ck7V075nxiqvuA7IyLa03bRgWt5pheJL/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,Zara. She loves to draa. This is Faiz. He loves to build things. ,?,?,2,2,2,2,1,2,2,2,2,2,2,2,2,The kid started reading the sentence before the recording started.
grade1_profile28387_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/1fKUu6aCWL1PzJdRYbYZIp-ShDab47TXV/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This eva Zara. She lovesa to draaa. This is Faaiz. He loves to buld things.,2,1,2,2,2,2,1,2,2,1,2,2,2,1,2,Mother was trying to assist but the kid was reading on his own.
grade1_profile28469_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1nWLLJWZDibDW0DTWlwq8K9PZhafmKD4s/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She loves to draa. This is Faiz. He loves to build things. ,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,Audio was paused and continued while recording each sentence.
grade1_profile30481_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/1nfNIPg9pj032NCedUvO-HUoubiUzbxzl/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She loves to draaaai draaa. This is Faiz. He loves to biuld things. ,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,Mother prompted the kid to start but didn't try to correct her kid's mistakes.
grade1_profile28402_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/199kVgLyL9DAwmJJARG5pyfBmqrVcADGF/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She loves to drawwwiee. This is Faizan. He loved to baidling.,2,2,2,2,2,2,1,2,2,0,2,1,2,0,0,Mother prompted in the beginning. Seemed like the mother might be prompting in between the audio recording but the audio sound is very low to clearly understand.
grade1_profile30496_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1I-nV-Z9NijYazKpDfaMZNetkVsc7Zhdr/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,Ungraded,Ungraded,Ungraded,Ungraded,Ungraded,Ungraded,Ungraded,Ungraded,Ungraded,Ungraded,Ungraded,Ungraded,Ungraded,Ungraded,Ungraded,Seems like elder sister has recorded. Doesn't sound like a child.
