audio_file_name,Submitted Audio Link,Question,Human Transcription,Come,on.,We,can,do,it,together.,Notes
grade1_profile28382_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1FK_8nRDIm_mUeg862zM6kbqnQQfkwjFr/view?usp=drivesdk,Come on. We can do it  together.,Come on. We can do it together,2,2,2,2,2,2,2,
grade1_profile30822_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1ue5yD1EItegLCKJd0kjv7VJLtL_rp19k/view?usp=drivesdk,Come on. We can do it  together.,Come on. E can do it to gather,2,2,1,2,2,2,1,
grade1_profile28401_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1J_8t70quQsOsY7IojncwR-CSypfeLN2E/view?usp=drivesdk,Come on. We can do it  together.,Come on. We can do it together,2,2,2,2,2,2,2,
grade1_profile31192_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1AC8l0qoomxKz9Q3D1OJzjKHLnU8mlChB/view?usp=drivesdk,Come on. We can do it  together.,Come on. We can do it together,2,2,2,2,2,2,2,
grade1_profile30626_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1hBP2APcam5uW1stHQRwHUepJ0Y5t0NfT/view?usp=drivesdk,Come on. We can do it  together.,Come on. We can do it together,2,2,2,2,2,2,2,
grade1_profile28369_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1RF3JyjP9_LqLGTGpSDMIj80g25V-Nl6n/view?usp=drivesdk,Come on. We can do it  together.,Come o,2,1,0,0,0,0,0,
grade1_profile28448_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/11C_fKF18rd2-MKTZ4n-Fdh1d4JUxRvtV/view?usp=drivesdk,Come on. We can do it  together.,Come on. We can do it together,2,2,2,2,2,2,2,
grade1_profile30596_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1JbFiMdumdmDJr5w_yzQpXCnz50Qyrw8G/view?usp=drivesdk,Come on. We can do it  together.,Come aaaan. We can do it togither,,,,,,,,e4 (mother recording)
grade1_profile28519_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1He-oMjYz_2xB_fMXyUktT6TBEuI5o0PH/view?usp=drivesdk,Come on. We can do it  together.,Come on. We can do it together,2,2,2,2,2,2,2,
grade1_profile28469_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1nyveoJ947IXbuuVT5c_JCaUU7NuR8vbg/view?usp=drivesdk,Come on. We can do it  together.,Come on. We can do it together,2,2,2,2,2,2,2,
grade1_profile28446_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/12x6PDPo76MGSMzLeGR-YUySMk-THBRfg/view?usp=drivesdk,Come on. We can do it  together.,Come on. We can do it to gather,2,2,2,2,2,2,1,
grade1_profile28349_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1qcLc1cvwJQ3rQCvWdZ93HrGDeHC2Jphg/view?usp=drivesdk,Come on. We can do it  together.,Come on. We can do it together,2,2,2,2,2,2,2,
grade1_profile28463_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1401_FNMXftcUoGj2U1Pvm52oqQw1hgqr/view?usp=drivesdk,Come on. We can do it  together.,Come on. We can do it together,2,2,2,2,2,2,2,
grade1_profile28493_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1kqZ5A_r0sGk4AOX1bK3ALasAQTqrp6hn/view?usp=drivesdk,Come on. We can do it  together.,Come on. We can do it together,2,2,2,2,2,2,2,
grade1_profile28429_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1T6QOkD1IqmG9BZEeUydC9uSrKEdpD5Mf/view?usp=drivesdk,Come on. We can do it  together.,Come onnnnn. We can do it to gatherrrr,2,1,2,2,2,2,1,
grade1_profile28474_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1otR4XqLtsOjbYvfCmw8MB14O-frdRRji/view?usp=drivesdk,Come on. We can do it  together.,Come on. We can do it together,2,2,2,2,2,2,2,
grade1_profile28364_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/13kJ_aDOWeGgbXn7RK3UgSn8e2vPvWwQI/view?usp=drivesdk,Come on. We can do it  together.,Come on. We can do it together,2,2,2,2,2,2,2,
