audio_file_name,Submitted Audio Link,Question,Human Transcription,Come,on.,We,can,do,it,together.,Notes
grade1_profile28376_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1S_LHQa0uSEoUEr2EAPDkOkmuVPKxHQZa/view?usp=drivesdk,Come on. We can do it  together.,Come on to gate together,2,2,0,0,0,0,2,
grade1_profile28391_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1jernYLW_5qqcrnj6Y1EdKHeOAxp3Ne7L/view?usp=drivesdk,Come on. We can do it  together.,Come on we can do it together,2,2,2,2,2,2,2,
grade1_profile30693_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1LyAexXaCKooYWBffza_UsaRxVWVsD32_/view?usp=drivesdk,Come on. We can do it  together.,,,,,,,,,Sentence not recorded
grade1_profile31184_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1etg_QsXqtYE_sc4PLdp0-UKWEh24Pk1V/view?usp=drivesdk,Come on. We can do it  together.,Come on we can do it to gather,2,2,2,2,2,2,1,
grade1_profile28382_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1DQrWQUHj1WFXIl07XfTEzgWVAhkzwWJF/view?usp=drivesdk,Come on. We can do it  together.,Come on we can to eat together,2,2,2,2,0,0,2,Come on combined: cumon
grade1_profile28376_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1EM4CNlgxnOL_CCPbEXMb93gGxqrVGCoA/view?usp=drivesdk,Come on. We can do it  together.,Come on we can do it to gather,2,2,2,2,2,2,1,
grade1_profile30630_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1_P3egLc_8tab7-Asjm9QbixfTIuaGbrI/view?usp=drivesdk,Come on. We can do it  together.,Come on we can do it to gather,2,2,2,2,2,2,1,
grade1_profile28468_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1Uaz4ZZpZ1e78Q79Zzh7N8LgRjANwevu0/view?usp=drivesdk,Come on. We can do it  together.,Come on we can't gather,2,2,2,1,0,0,0,
grade1_profile30581_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1dDBXUxsJrtbUrcp7Q7SHPbGDebQDJtfQ/view?usp=drivesdk,Come on. We can do it  together.,Come on we can do it together,2,2,2,2,2,2,2,
grade1_profile28498_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1bwTbFSzlPDdWo7hWx83eTqjhHuhiYAx0/view?usp=drivesdk,Come on. We can do it  together.,Come on we can do it to get,2,2,2,2,2,2,0,
grade1_profile30482_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1jbnW4msNynwC_ev-5Ssnm9LPz4xHrn72/view?usp=drivesdk,Come on. We can do it  together.,Come on we cant do eat together,2,2,2,1,2,1,2,
grade1_profile28347_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1QezCwG0JYzdMrK6Rb0Kk87-mP4cWosbq/view?usp=drivesdk,Come on. We can do it  together.,Come own we can do it together,2,1,2,2,2,2,2,
grade1_profile28392_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/18wryoBuUjIeBdyRkrPYh8hZtOwhZuyA4/view?usp=drivesdk,Come on. We can do it  together.,Come on you can do it,2,2,0,2,2,2,0,
grade1_profile30575_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1sByTJAJ7EKVXMecGPHWiDB_-ENAJC356/view?usp=drivesdk,Come on. We can do it  together.,Come own we can do it to gather,2,1,2,2,2,2,1,
grade1_profile28443_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1S7rvRIEal6sBaatoaJer2YMm0y5pruGG/view?usp=drivesdk,Come on. We can do it  together.,Come on we can do it together,2,2,2,2,2,2,2,
grade1_profile28423_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/10elorxxpdjLEWacskgdqBPNPCmFwXGEc/view?usp=drivesdk,Come on. We can do it  together.,Come on we can do it to gather,2,2,2,2,2,2,1,
grade1_profile30476_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1U15OsCTiGS6twXkOKKN-XOHJcj2qpRFs/view?usp=drivesdk,Come on. We can do it  together.,Come own we can do it to gather,2,1,2,2,2,2,1,
grade1_profile28465_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1wgNLwdBci8DwPyKXV1wJLsiZzM2wCdg7/view?usp=drivesdk,Come on. We can do it  together.,Come on we can do it together,2,2,2,2,2,2,2,
grade1_profile28344_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1zZCJwtfXzsQr-yYVnBM7g32m4jXckAhE/view?usp=drivesdk,Come on. We can do it  together.,We can do it to get,0,0,2,2,2,2,0,
