audio_file_name,Submitted Audio Link,Question,Human Transcription,It's,locked.,I,can,open,it.,Notes
grade1_profile31192_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1ZvG0V7S1VqC2ZHUu7nsbgrP2kW2IDzRL/view?usp=drivesdk,It's locked. I can open it. ,Is lock I can awpen ick,0,0,2,2,1,0,
grade1_profile28371_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1TWbXE9cbhk-hUG1FdACz1grtY5pXJbR4/view?usp=drivesdk,It's locked. I can open it. ,Its loo kid eye can topen i eat,2,0,1,2,1,1,Parent assisting
grade1_profile28390_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1_vnqtUSjmr3mfSHQ9r2r4b5e46FC9W75/view?usp=drivesdk,It's locked. I can open it. ,Its locked i can awpen it,2,2,2,2,1,2,
grade1_profile28428_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/15Sywz3VG7aWEVwWvlTk67QXNXm_20P0k/view?usp=drivesdk,It's locked. I can open it. ,Its locked i can awpen it,2,2,2,2,1,2,
grade1_profile28443_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/11faSqDjUJZLdecbtdk6hByud8BknQPiF/view?usp=drivesdk,It's locked. I can open it. ,Its locked i can open it,2,2,2,2,2,2,
grade1_profile30472_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1QvSKkTeKdD6eIkwlL_zTiL_lOs4-AfRM/view?usp=drivesdk,It's locked. I can open it. ,Its its looked i can pick it ,2,1,2,2,0,2,
grade1_profile28399_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1Fhc2x3S7o0UmEf1MLjzHP9OrzQiJ_28D/view?usp=drivesdk,It's locked. I can open it. ,Its lock i can open,2,0,2,2,2,0,
grade1_profile28428_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1j7mFHSl5nx6h95BcSRpU5vMTEH6McR4t/view?usp=drivesdk,It's locked. I can open it. ,Its locked i can open it,2,2,2,2,2,2,
grade1_profile28369_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1K9UCX8yv_s-blrTbV4--vDYCACPE10Yt/view?usp=drivesdk,It's locked. I can open it. ,Its lock i can open it,,,,,,,Parent 
grade1_profile30586_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1p-EL9SsY61VKmedUukqKrPkPdkEpf9Id/view?usp=drivesdk,It's locked. I can open it. ,Its locked its locked i can open it i can open it,,,,,,,Child repeating after parent 
