audio_file_name,word,human_correct,human_grader,profile_id,pre_or_post,question_clean,word_position,total_ref_words,ai_correct,agree
grade1_profile28344_q1_LP_20251122_095026.mp3,can,1,Semal,28344,pre,Come on. We can do it together.,3,7,0,0
grade1_profile28344_q1_LP_20251122_095026.mp3,come,0,Semal,28344,pre,Come on. We can do it together.,0,7,0,1
grade1_profile28344_q1_LP_20251122_095026.mp3,do,1,Semal,28344,pre,Come on. We can do it together.,4,7,1,1
grade1_profile28344_q1_LP_20251122_095026.mp3,it,0,Semal,28344,pre,Come on. We can do it together.,5,7,1,0
grade1_profile28344_q1_LP_20251122_095026.mp3,on,1,Semal,28344,pre,Come on. We can do it together.,1,7,0,0
grade1_profile28344_q1_LP_20251122_095026.mp3,together,1,Semal,28344,pre,Come on. We can do it together.,6,7,0,0
grade1_profile28344_q1_LP_20251122_095026.mp3,we,1,Semal,28344,pre,Come on. We can do it together.,2,7,0,0
grade1_profile28344_q1_QK_20251122_095622.mp3,can,1,Semal,28344,post,Come on. We can do it together.,3,7,1,1
grade1_profile28344_q1_QK_20251122_095622.mp3,do,1,Semal,28344,post,Come on. We can do it together.,4,7,1,1
grade1_profile28344_q1_QK_20251122_095622.mp3,it,1,Semal,28344,post,Come on. We can do it together.,5,7,1,1
grade1_profile28344_q1_QK_20251122_095622.mp3,together,0,Semal,28344,post,Come on. We can do it together.,6,7,0,1
grade1_profile28344_q1_QK_20251122_095622.mp3,we,1,Semal,28344,post,Come on. We can do it together.,2,7,0,0
grade1_profile28344_q2_LP_20251122_100201.mp3,can,1,Abdullah,28344,pre,It's locked. I can open it.,3,6,1,1
grade1_profile28344_q2_LP_20251122_100201.mp3,i,1,Abdullah,28344,pre,It's locked. I can open it.,2,6,1,1
grade1_profile28344_q2_LP_20251122_100201.mp3,it,1,Abdullah,28344,pre,It's locked. I can open it.,5,6,1,1
grade1_profile28344_q2_LP_20251122_100201.mp3,it's,0,Abdullah,28344,pre,It's locked. I can open it.,0,6,1,0
grade1_profile28344_q2_LP_20251122_100201.mp3,locked,0,Abdullah,28344,pre,It's locked. I can open it.,1,6,0,1
grade1_profile28344_q2_LP_20251122_100201.mp3,open,1,Abdullah,28344,pre,It's locked. I can open it.,4,6,1,1
grade1_profile28344_q2_QK_20251122_100724.mp3,can,1,Rukhshan,28344,post,It's locked. I can open it.,3,6,1,1
grade1_profile28344_q2_QK_20251122_100724.mp3,i,1,Rukhshan,28344,post,It's locked. I can open it.,2,6,1,1
grade1_profile28344_q2_QK_20251122_100724.mp3,it,1,Rukhshan,28344,post,It's locked. I can open it.,5,6,1,1
grade1_profile28344_q2_QK_20251122_100724.mp3,it's,1,Rukhshan,28344,post,It's locked. I can open it.,0,6,1,1
grade1_profile28344_q2_QK_20251122_100724.mp3,locked,0,Rukhshan,28344,post,It's locked. I can open it.,1,6,0,1
grade1_profile28344_q2_QK_20251122_100724.mp3,open,1,Rukhshan,28344,post,It's locked. I can open it.,4,6,1,1
grade1_profile28344_q3_LP_20251122_101304.mp3,build,1,Salman,28344,pre,This is Zara. She loves to draw. This is Faiz. He loves to build things.,13,15,0,0
grade1_profile28344_q3_LP_20251122_101304.mp3,draw,1,Salman,28344,pre,This is Zara. She loves to draw. This is Faiz. He loves to build things.,6,15,0,0
grade1_profile28344_q3_LP_20251122_101304.mp3,faiz,1,Salman,28344,pre,This is Zara. She loves to draw. This is Faiz. He loves to build things.,9,15,0,0
grade1_profile28344_q3_LP_20251122_101304.mp3,he,1,Salman,28344,pre,This is Zara. She loves to draw. This is Faiz. He loves to build things.,10,15,1,1
grade1_profile28344_q3_LP_20251122_101304.mp3,is,1,Salman,28344,pre,This is Zara. She loves to draw. This is Faiz. He loves to build things.,1,15,1,1
grade1_profile28344_q3_LP_20251122_101304.mp3,loves,1,Salman,28344,pre,This is Zara. She loves to draw. This is Faiz. He loves to build things.,4,15,1,1
grade1_profile28344_q3_LP_20251122_101304.mp3,she,1,Salman,28344,pre,This is Zara. She loves to draw. This is Faiz. He loves to build things.,3,15,1,1
grade1_profile28344_q3_LP_20251122_101304.mp3,things,1,Salman,28344,pre,This is Zara. She loves to draw. This is Faiz. He loves to build things.,14,15,0,0
grade1_profile28344_q3_LP_20251122_101304.mp3,this,1,Salman,28344,pre,This is Zara. She loves to draw. This is Faiz. He loves to build things.,0,15,1,1
grade1_profile28344_q3_LP_20251122_101304.mp3,to,1,Salman,28344,pre,This is Zara. She loves to draw. This is Faiz. He loves to build things.,5,15,1,1
grade1_profile28344_q3_LP_20251122_101304.mp3,zara,1,Salman,28344,pre,This is Zara. She loves to draw. This is Faiz. He loves to build things.,2,15,1,1
grade1_profile28344_q3_QK_20251122_101834.mp3,build,1,Rehma,28344,post,This is Zara. She loves to draw. This is Faiz. He loves to build things.,13,15,0,0
grade1_profile28344_q3_QK_20251122_101834.mp3,draw,1,Rehma,28344,post,This is Zara. She loves to draw. This is Faiz. He loves to build things.,6,15,1,1
grade1_profile28344_q3_QK_20251122_101834.mp3,faiz,1,Rehma,28344,post,This is Zara. She loves to draw. This is Faiz. He loves to build things.,9,15,0,0
