word,n_human,human_correct_pct,n_ai,ai_correct_pct,n_paired,agreement_pct,human_minus_ai
faiz,296,77.4,156,10.3,156,17.3,67.1
things,296,72.0,161,48.4,161,54.7,23.6
together,293,60.4,179,32.4,179,55.3,28.0
build,296,66.9,158,59.5,158,59.5,7.4
zara,296,87.8,181,57.5,181,61.3,30.3
come,293,84.6,186,62.4,186,64.5,22.2
locked,302,45.4,185,24.3,185,65.9,21.1
on,293,79.5,191,66.0,191,66.5,13.5
loves,592,64.2,189,94.2,189,68.8,-30.0
it's,302,67.9,182,77.5,182,69.2,-9.6
we,293,90.4,186,72.6,186,72.6,17.8
draw,296,77.0,179,69.8,179,72.6,7.2
he,296,88.2,169,85.8,169,81.1,2.4
she,296,91.6,176,82.4,176,81.2,9.2
to,592,91.0,183,84.2,183,82.0,6.8
open,302,87.4,189,88.9,189,83.6,-1.5
can,595,90.3,377,86.5,377,85.1,3.8
this,592,89.9,187,93.0,187,87.7,-3.1
it,595,83.2,371,98.9,371,87.9,-15.7
is,592,92.7,190,90.0,190,88.4,2.7
do,293,90.1,186,93.0,186,90.3,-2.9
i,302,91.1,191,97.4,191,93.7,-6.3
