audio_file_name,Submitted Audio Link,Question,Tab,Human Transcription,error
grade1_profile28390_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1qqYMpgk98BiGob8OSUNev1mmjoTvAf6n/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Q3,she loves to daw. This is faiz. He loves to build things,BACKGROUND_NOISE
grade1_profile28388_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/15Vnas2h0X6NxfpfsFROoDg4VmD6q0Oe6/view?usp=drivesdk,Come on. We can do it  together.,Q1,I have done,
grade1_profile28474_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1ytxqSw8TTBUWzveh1-kMxauOCf_QlN-D/view?usp=drivesdk,Come on. We can do it  together.,Q1,come on. we can do it together,PARENT_RECORDING
grade1_profile30506_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1o2f6zKorsNz0Fl83OuZW940_b-eRxmXV/view?usp=drivesdk,Come on. We can do it  together.,Q1,come on. you... we...we..we can do this do it together,HELP_FROM_PARENT
grade1_profile28364_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1_eR9oVJ7WmE892sQZ083n2mUY28zhERh/view?usp=drivesdk,Come on. We can do it  together.,Q1,come on we caan can do eat together,
grade1_profile31284_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1XYnfFzzExD6dvoduvk4x54jnCT_kt-pA/view?usp=drivesdk,Come on. We can do it  together.,Q1,"come on. we, can, do it together",
grade1_profile28443_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1RDIi7f6EhXxzTdxohaYWPIFxXNU-ti7s/view?usp=drivesdk,Come on. We can do it  together.,Q1,come on we can can do it together,
grade1_profile28429_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1ztkgaG0RvQxbhcoXSYgcG3lm9BEQuYzx/view?usp=drivesdk,It's locked. I can open it.,Q2,Its logged. I can open it,
grade1_profile28344_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1qjkXEyL7pjPQidpXfxOcjy8sYYlRBchK/view?usp=drivesdk,It's locked. I can open it.,Q2,Its lock. I can open it.,
grade1_profile31207_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1Z3JP5NTSTNPvGJS0H6odEQRXehJ84JO6/view?usp=drivesdk,It's locked. I can open it.,Q2,iss lawked. eye can open,
