audio_file_name,Submitted Audio Link,Question,Tab,Human Transcription
grade1_profile28369_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/19qQ6X61voZKrC2A-jCwn_CoAR9039FEQ/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Q3,
grade1_profile28371_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/10Ziu79rIndUZUKcJabkilKGh3I0qBMq1/view?usp=drivesdk,Come on. We can do it  together.,Q1,
grade1_profile28474_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1ytxqSw8TTBUWzveh1-kMxauOCf_QlN-D/view?usp=drivesdk,Come on. We can do it  together.,Q1,
grade1_profile28352_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1cxKIMrQ4pQxF8gwpg7lj97_3rkL_zwT2/view?usp=drivesdk,Come on. We can do it  together.,Q1,
grade1_profile28498_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/14MB6Jm5D4s9s2SapvNNVEWaYlZh_vZd2/view?usp=drivesdk,Come on. We can do it  together.,Q1,
grade1_profile28456_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1JBoB9kEY3uORya_2Xd_C36AoZRwf_i50/view?usp=drivesdk,Come on. We can do it  together.,Q1,
grade1_profile30695_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1U4E6z-SOyVhppeEXNwEP6jjY5rOVwm47/view?usp=drivesdk,Come on. We can do it  together.,Q1,
grade1_profile30665_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1WOXjuPGmY2gGKaqTbAvZZeiPOticbO4i/view?usp=drivesdk,It's locked. I can open it.,Q2,
grade1_profile28475_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1j8l64DGHByqsFGOpyxOatkCfkXatoE7V/view?usp=drivesdk,It's locked. I can open it.,Q2,
grade1_profile31207_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1Z3JP5NTSTNPvGJS0H6odEQRXehJ84JO6/view?usp=drivesdk,It's locked. I can open it.,Q2,
