audio_file_name,Submitted Audio Link,Question,Tab,Human Transcription,,
grade1_profile28390_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1qqYMpgk98BiGob8OSUNev1mmjoTvAf6n/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Q3,She loves to draw. This is faiz. He loves to build things,,
grade1_profile28371_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/10Ziu79rIndUZUKcJabkilKGh3I0qBMq1/view?usp=drivesdk,Come on. We can do it  together.,Q1,komoon. voi can do it together,,
grade1_profile30506_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1LHsph3GJhyeQFfQfLlL6DScluUzu5rDw/view?usp=drivesdk,Come on. We can do it  together.,Q1,comeon. we can do it togetherr,,
grade1_profile28446_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/16oV1HyKzLjv9bfkKZQR7Lsmahag51tON/view?usp=drivesdk,Come on. We can do it  together.,Q1,comeon. we can do it together,,
grade1_profile30544_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1qkVjvSK2QMQnKzMseu7DqquF9ibk_vkt/view?usp=drivesdk,Come on. We can do it  together.,Q1,comeon. we can doit together,,
grade1_profile30544_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1WlJqihZ6DOoYuVXGku5dN9lOGY-VJao0/view?usp=drivesdk,Come on. We can do it  together.,Q1,comeon. we can do it together,,
grade1_profile28451_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1LOIty2U0_t3tNcSY-mQ2TBH2pPEuXot2/view?usp=drivesdk,Come on. We can do it  together.,Q1,camon. we can do it togeth,,
grade1_profile28429_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1ztkgaG0RvQxbhcoXSYgcG3lm9BEQuYzx/view?usp=drivesdk,It's locked. I can open it.,Q2,It's locked. I can open it,,
grade1_profile28475_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1j8l64DGHByqsFGOpyxOatkCfkXatoE7V/view?usp=drivesdk,It's locked. I can open it.,Q2,locked. I can open it,,
grade1_profile28444_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1NSwDlBm31bPu1gVJovLqxv85nCMKfiYM/view?usp=drivesdk,It's locked. I can open it.,Q2,It's lucked. I can open it,,
grade1_profile28395_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1FGqeQCsBq7Sf2S6qiqVxksmatvpiXwro/view?usp=drivesdk,It's locked. I can open it.,Q2,It's locked. I can open it,,
