audio_file_name,Submitted Audio Link,Question,Tab,Human Transcription,ERROR
grade1_profile30693_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1LyAexXaCKooYWBffza_UsaRxVWVsD32_/view?usp=drivesdk,Come on. We can do it  together.,Q1,-,
grade1_profile28438_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1FiocPNYjAm28JC6lRie3GakgrkaV715M/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come on. We can do it to gether.,
grade1_profile30472_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1AyTlkRykh3Rmv9PxFJm7IT17ddmgCfQK/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come on. We can do it together.,PARENT_RECORDING
grade1_profile30506_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1o2f6zKorsNz0Fl83OuZW940_b-eRxmXV/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come on. W we we can do this do it together.,
grade1_profile30544_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1qkVjvSK2QMQnKzMseu7DqquF9ibk_vkt/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come on. We caan do it together.,
grade1_profile30586_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1Uvu547A7PZzgn-NOOv5lrhV4tG6ePrx4/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come on. We can do it together. ,
grade1_profile30695_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1U4E6z-SOyVhppeEXNwEP6jjY5rOVwm47/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come on. We can do it togather.,PARENT_RECORDING
grade1_profile31203_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1VRG58brvOalzlZLsRG_gRrIkIkL1wQXf/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come on we can do et together.,
grade1_profile28344_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1QTRJRZAMTEv7zW1g9z6QVADq8Ra2QGLc/view?usp=drivesdk,It's locked. I can open it.,Q2,It's loged. I can open it.,
grade1_profile30823_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1b5_BA_o-Yi2nHhtU9QEmmniDuoxZq00l/view?usp=drivesdk,It's locked. I can open it.,Q2,It's lock. I can open it.,
