audio_file_name,Submitted Audio Link,Question,Tab,Human Transcription,ERROR
grade1_profile28438_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1FiocPNYjAm28JC6lRie3GakgrkaV715M/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come on. We can do it together.,
grade1_profile30823_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1xjpfiqyDUbvfUigWvNfrKdBn5PwPbJi2/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come on. We can do it together.,
grade1_profile30665_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1Ubbq0DMST7gEyg6MD3Xjltc2UJCfZowQ/view?usp=drivesdk,Come on. We can do it  together.,Q1,On. Come on. We can do eet dogeder,HELP_FROM_PARENT_OR_SIBLING
grade1_profile28498_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/14MB6Jm5D4s9s2SapvNNVEWaYlZh_vZd2/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come on. We can do it together.,
grade1_profile31284_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1XYnfFzzExD6dvoduvk4x54jnCT_kt-pA/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come on. We can do eet twogether.,
grade1_profile28451_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1LOIty2U0_t3tNcSY-mQ2TBH2pPEuXot2/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come on. We can do it togeth,INCOMPLETE_AUDIO
grade1_profile31192_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1rGYKUG3-9eYTg31UmxT9ZBJvwk0c4eds/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come on We can do it togedel.,HELP_FROM_PARENT_OR_SIBLING
grade1_profile28362_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1RgdJ5yHQc8JM5gWYv1G7Ofn2ZGIlD_L8/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come on. We can do it twodogether,
grade1_profile31206_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1G9eInvBMNYthXvVCqinL_wOOQZACg8o_/view?usp=drivesdk,Come on. We can do it  together.,Q1,Comeh ohn. We can do eet twogatha,
grade1_profile28399_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1uKWKeZslAZ6C-LcRjijZL8pozw_vKO3D/view?usp=drivesdk,Come on. We can do it  together.,Q1,,"STUDENT_ANSWERS_THE_WRONG_QUESTION
"
