audio_file_name,Submitted Audio Link,Question,Tab,Human Transcription,,
grade1_profile30693_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1LyAexXaCKooYWBffza_UsaRxVWVsD32_/view?usp=drivesdk,Come on. We can do it  together.,Q1,,noise - didnt say come on we can do it together,
grade1_profile28514_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1PrOXkGo4w7QN3M17nqH-OiI0qR74UTEP/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come on we can do eat together,,
grade1_profile30823_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1xjpfiqyDUbvfUigWvNfrKdBn5PwPbJi2/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come on we can do it two gethe ,audio cut at the end,
grade1_profile28446_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/16oV1HyKzLjv9bfkKZQR7Lsmahag51tON/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come on we can do it two gether,,
grade1_profile28364_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1_eR9oVJ7WmE892sQZ083n2mUY28zhERh/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come on we can do eat to gather,,
grade1_profile28456_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1JBoB9kEY3uORya_2Xd_C36AoZRwf_i50/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come on we can do it too gether,,
grade1_profile28431_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1VqhtoK78AJ5GV0eDFx7vHvJnFM1nC3r-/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come on we can two eat the together,,
grade1_profile31203_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1VRG58brvOalzlZLsRG_gRrIkIkL1wQXf/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come on we can do eat together,,
grade1_profile28388_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1ESwnqgQj2778XjyDOXp3NOCGEcP2fUT2/view?usp=drivesdk,It's locked. I can open it.,Q2,It's lock. I cant open it,,
grade1_profile31204_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1uFOyc_NgkgcdReZ_ymSwuY2nQiGobmKV/view?usp=drivesdk,It's locked. I can open it.,Q2,It's locked. Eye can open it,c-han,
grade1_profile28395_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1FGqeQCsBq7Sf2S6qiqVxksmatvpiXwro/view?usp=drivesdk,It's locked. I can open it.,Q2,Eats lock i can open eat,laak,
grade1_profile31192_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1miw9oejyoXhVT9pNfeRLN-JHSvg8MzvX/view?usp=drivesdk,It's locked. I can open it.,Q2,Its lock. I can open it. ,awpen,
grade1_profile28441_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/1wOTXLmAnXxyUcAZCFec3ZAtlqLx0ZPya/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Q3,These ease Zara. She she loves to draw. These ease Faiz. He loves to build thumbs things. ,laves - dragging words - assisted by parent,
grade1_profile28385_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1HjQlCur1XeRwSX6CAWCb6ylZW3C5mmGM/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Q3,Its this is Zara. She loves to draw. The is Faiz. Hell he's love to build things.,,
grade1_profile28392_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/17IJpvlR7EPYADuJK6U0RJDyr1QmXqg8X/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Q3,This is Zara. She love to draw.,,
grade1_profile28518_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1fj7Cno-bBgGLBSa5Ko_vplG4d89pIlb1/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Q3,This is Zara. She love to draw. This is Faiz. He love to build things.,,
grade1_profile28401_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1Z3yV-XKZzf8QplVltwNxGRoe8BFbmGTG/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Q3,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,draa,
grade1_profile28401_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1GlXFe2qZe58zNYqhM_N_GsICPwI_tHOf/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come own. We can do it to gather.,,
grade1_profile28466_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1I8jbYqyU9PjWsKVjPQTDV6tc9-U_Qtzx/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come on. We can do it together.,reading in a sing-song voice..,
