audio_file_name,question,grader_1,grader_2,transcription_1,transcription_2,inter_grader_wer
grade1_profile28390_q3_QK_20251122_101834.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Amna,Abdullah,She loves to draw. This is faiz. He loves to build things,she loves to daw. This is faiz. He loves to build things,0.08333333333333333
grade1_profile28514_q1_LP_20251122_095026.mp3,Come on. We can do it  together.,Semal,Rehma,Come on we can do eat together,Come onnn. We can do it too gather,0.5714285714285714
grade1_profile28438_q1_LP_20251122_095026.mp3,Come on. We can do it  together.,Dania,Rukhshan,Come on. We can do it to gether.,Come on. We can do it together.,0.25
grade1_profile30823_q1_LP_20251122_095026.mp3,Come on. We can do it  together.,Semal,Rukhshan,Come on we can do it two gethe ,Come on. We can do it together.,0.25
grade1_profile30472_q1_QK_20251122_095622.mp3,Come on. We can do it  together.,Dania,Rehma,Come on. We can do it together.,Come on. We can do it together.,0.0
grade1_profile28446_q1_QK_20251122_095622.mp3,Come on. We can do it  together.,Semal,Amna,Come on we can do it two gether,comeon. we can do it together,0.5
grade1_profile30506_q1_LP_20251122_095026.mp3,Come on. We can do it  together.,Dania,Abdullah,Come on. W we we can do this do it together.,come on. you... we...we..we can do this do it together,0.2727272727272727
grade1_profile28364_q1_QK_20251122_095622.mp3,Come on. We can do it  together.,Semal,Abdullah,Come on we can do eat to gather,come on we caan can do eat together,0.375
grade1_profile30544_q1_QK_20251122_095622.mp3,Come on. We can do it  together.,Dania,Amna,Come on. We caan do it together.,comeon. we can doit together,0.7142857142857143
grade1_profile30544_q1_LP_20251122_095026.mp3,Come on. We can do it  together.,Rehma,Amna,Come ooonnnn. We caaaannn do it togetha,comeon. we can do it together,0.5714285714285714
grade1_profile31284_q1_LP_20251122_095026.mp3,Come on. We can do it  together.,Rukhshan,Abdullah,Come on. We can do eet twogether.,"come on. we, can, do it together",0.2857142857142857
grade1_profile28443_q1_QK_20251122_095622.mp3,Come on. We can do it  together.,Rehma,Abdullah,Come on. We can do it together.,come on we can can do it together,0.14285714285714285
grade1_profile28451_q1_QK_20251122_095622.mp3,Come on. We can do it  together.,Rukhshan,Amna,Come on. We can do it togeth,camon. we can do it togeth,0.2857142857142857
grade1_profile31203_q1_QK_20251122_095622.mp3,Come on. We can do it  together.,Semal,Dania,Come on we can do eat together,Come on we can do et together.,0.14285714285714285
grade1_profile28398_q2_LP_20251122_100201.mp3,It's locked. I can open it.,Rehma,Rukhshan,It's lock. I can open it.,It's locked. I can open it.,0.16666666666666666
grade1_profile28429_q2_QK_20251122_100724.mp3,It's locked. I can open it.,Amna,Abdullah,It's locked. I can open it,Its logged. I can open it,0.3333333333333333
grade1_profile28388_q2_QK_20251122_100724.mp3,It's locked. I can open it.,Semal,Rehma,It's lock. I cant open it,It's lock. I can't open it.,0.16666666666666666
grade1_profile28344_q2_QK_20251122_100724.mp3,It's locked. I can open it.,Dania,Rukhshan,It's loged. I can open it.,It's looked. I can open it.,0.16666666666666666
grade1_profile31204_q2_LP_20251122_100201.mp3,It's locked. I can open it.,Semal,Rukhshan,It's locked. Eye can open it,It's locked. Eye caan open it.,0.16666666666666666
grade1_profile30823_q2_QK_20251122_100724.mp3,It's locked. I can open it.,Dania,Rehma,It's lock. I can open it.,It's looock. I can open it.,0.16666666666666666
grade1_profile28395_q2_QK_20251122_100724.mp3,It's locked. I can open it.,Semal,Amna,Eats lock i can open eat,It's locked. I can open it,0.5
grade1_profile28509_q2_LP_20251122_100201.mp3,It's locked. I can open it.,Dania,Abdullah,It's loged. I can open it.,eats load .... load.. eye can open it,0.6666666666666666
grade1_profile31192_q2_QK_20251122_100724.mp3,It's locked. I can open it.,Semal,Abdullah,Its lock. I can open it. ,Its lock.. I can open it.,0.0
grade1_profile28457_q3_QK_20251122_101834.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Dania,Amna,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara. She loves to draw. This is Faiz. He loves to build things.,0.0
grade1_profile28382_q3_LP_20251122_101304.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Rehma,Amna,This is Zara. She love to draw. This is Faaiz. He love to buil thing,This is Zara. She love to draw. This is Faiz. He loves to build thing.,0.2
grade1_profile31184_q3_LP_20251122_101304.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Rukhshan,Abdullah,This is Zara. She loves to draw. This is Faaa. He loves to bubbles things.,"This is Zara. She loves to draw this, is faaz he loves to bubble things",0.13333333333333333
grade1_profile28456_q3_QK_20251122_101834.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Rehma,Abdullah,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is zara. She loves to draw. This is Faiz. He loves to build things.,0.0
grade1_profile31184_q3_QK_20251122_101834.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Rukhshan,Amna,This is Zara. She loves to draw. This is Faiz. He loves to building things.,This is Zara. She love to draw. This is Faiz. He loves to building thing.,0.13333333333333333
grade1_profile28392_q3_LP_20251122_101304.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Semal,Dania,This is Zara. She love to draw.,This is Zara. She loves to draw. ,0.14285714285714285
grade1_profile28391_q3_QK_20251122_101834.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Rehma,Rukhshan,This is Zara. She loves to draaaaw. This is Faiz. He love to buil thang,This is Zara. She love to dadra. This is Faiz. He loves to build thangs.,0.3333333333333333
grade1_profile28389_q3_LP_20251122_101304.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Amna,Abdullah,"This is Zara. She lave to draw. This is Faiz. He love to ""bou-ild"" things.",This is zara. She love to draa. This is faiz. he loves to bile... bull...things,0.3333333333333333
grade1_profile28518_q3_QK_20251122_101834.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Semal,Rehma,This is Zara. She love to draw. This is Faiz. He love to build things.,This is Zara. She love to draw. This is Faaiz. He love to buil things,0.13333333333333333
grade1_profile28364_q3_LP_20251122_101304.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Dania,Rukhshan,This is Zara. She loves to draw. This is Saif. He loves to build things.  ,This is Zara. She laaves to draw. This is Faiz. He loves to baild things. ,0.2
grade1_profile28401_q3_QK_20251122_101834.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Semal,Rukhshan,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She loves to draw. This is Faiz. He loves to build things.,0.0
grade1_profile28428_q3_QK_20251122_101834.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Dania,Rehma,This is Zara. She loves to draw. This is Faiz. He loves to bald things.  ,This is Zara. She looooooves to draaw. This is Saif. He looooves to buil things,0.3333333333333333
grade1_profile28401_q1_QK_20251122_095622.mp3,Come on. We can do it  together.,Semal,Amna,Come own. We can do it to gather.,Come on. We can do it  together.,0.375
grade1_profile28466_q1_QK_20251122_095622.mp3,Come on. We can do it  together.,Semal,Abdullah,Come on. We can do it together.,"come onn, we can do it together",0.14285714285714285
grade1_profile28432_q1_QK_20251122_095622.mp3,Come on. We can do it  together.,Dania,Amna,Come on. We can do it together. ,Come on. We can do it  together.,0.0
grade1_profile28423_q1_QK_20251122_095622.mp3,Come on. We can do it  together.,Rehma,Amna,Come on. We can do it togetha,Come on. We can do it  together.,0.14285714285714285
grade1_profile28349_q1_QK_20251122_095622.mp3,Come on. We can do it  together.,Semal,Dania,Come on. We can do eat two gether.,Come on. We can do it together. ,0.375
grade1_profile28375_q1_LP_20251122_095026.mp3,Come on. We can do it  together.,Rehma,Rukhshan,Come on. We can do it  together.,Come on. We can do it together.,0.0
grade1_profile28518_q2_LP_20251122_100201.mp3,It's locked. I can open it.,Semal,Rehma,It's lock. I can open it.,Iss lock. I can open iit,0.3333333333333333
grade1_profile28392_q2_QK_20251122_100724.mp3,It's locked. I can open it.,Dania,Rukhshan,It's locked. Eye can open it. ,It's locked. I can open it.,0.16666666666666666
grade1_profile30822_q2_LP_20251122_100201.mp3,It's locked. I can open it.,Semal,Rukhshan,"It's locked. I can open it, ",It's loocked. I can open it.,0.16666666666666666
grade1_profile28509_q2_QK_20251122_100724.mp3,It's locked. I can open it.,Dania,Rehma,It's looged. I can open it.,It's loooord. I can open it,0.16666666666666666
grade1_profile30589_q2_QK_20251122_100724.mp3,It's locked. I can open it.,Semal,Amna,It's locked. I can open it.,It's locked. I can open it.,0.0
grade1_profile30481_q2_QK_20251122_100724.mp3,It's locked. I can open it.,Dania,Amna,It's looged. I can open it.,It's locked. I can open it.,0.16666666666666666
grade1_profile31205_q2_QK_20251122_100724.mp3,It's locked. I can open it.,Rehma,Amna,Ss locked. i can open i,It's locked. I can open it.,0.3333333333333333
grade1_profile30596_q3_QK_20251122_101834.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Rukhshan,Amna,This is Zara. She laves to dra. This is Faiz. He loves to build things.,This is Zara. She loves to draw. This is Faiz. He lave to build things.,0.2
grade1_profile28401_q3_LP_20251122_101304.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Semal,Dania,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She loves to draw. This is Faiiiz. He loves to build things. ,0.06666666666666667
grade1_profile30684_q3_LP_20251122_101304.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Rehma,Rukhshan,This is Zara. She loves to draw. This is Faiz. He loves to buld things.,This is Zara. She loves to draw. This is Faiz. He loves to bwuild things.,0.06666666666666667
grade1_profile28466_q3_LP_20251122_101304.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Semal,Rehma,These is Zara. She loves to draw. This is Faiz. He loves to lid things.,This is Zara. She loves to draw. This is Faaaiz. He loves to bilid things,0.2
grade1_profile30506_q3_QK_20251122_101834.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Dania,Rukhshan,This is Z Zara. I this is draw. This is like draw.,This is Zara. I. Is it draw. This is like draw.,0.25
grade1_profile30490_q3_LP_20251122_101304.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Semal,Rukhshan,This is Zara. She love to draw. This is Faiza Faiz. He love to build things. ,This is Zara. She love to draaw. This is Faiza. Faiz. He love to builduh things.,0.125
grade1_profile28466_q3_QK_20251122_101834.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Dania,Rehma,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara. She loves to draw. This is Faiz. He lpves to build thi,0.13333333333333333
grade1_profile28446_q3_QK_20251122_101834.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Semal,Amna,This is Zara. She loves to draw. This is Faiz. He loves to build built thin. ,This is Zara. She loves to draw. This is Faiz. He loves to build thi,0.125
grade1_profile28444_q3_QK_20251122_101834.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Dania,Amna,This is Zara. She loves to draw. This is Faiz. He loves to build things.,This is Zara. She loves to draw. This is Faiz. He loves to build thi,0.06666666666666667
grade1_profile31204_q3_QK_20251122_101834.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Rehma,Amna,This is Zara. She lafs to bilts drrraaw. This is Faiz. He loves to build things,This is Zara. She loves to build draw. This is Faiz. He loves to build things.,0.1875
grade1_profile31284_q3_LP_20251122_101304.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Rukhshan,Amna,This is Zara. She loves to draaa. This is Faiz. He laves to builduh things.,This is Zara. She loves to draw. This is Faiz. He loves to build things.,0.2
grade1_profile30544_q3_QK_20251122_101834.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Semal,Dania,This is Zara. She love to draw. This is Faiz. He love to build thing. ,This is Zara. She love to draw. This is Faiz. He love to build things.,0.06666666666666667
grade1_profile28444_q1_QK_20251122_095622.mp3,Come on. We can do it  together.,Rehma,Rukhshan,Come on. We can do it  together.,Come on. We can do it together.,0.0
grade1_profile28355_q1_QK_20251122_095622.mp3,Come on. We can do it  together.,Semal,Rehma,On. We can do it gather.,Onn. We can do it gather,0.16666666666666666
grade1_profile30589_q1_QK_20251122_095622.mp3,Come on. We can do it  together.,Dania,Rukhshan,Come on. We can do it together. ,on. We can do it together.,0.14285714285714285
